,code,name
0,P,棕榈油1904
1,RB,螺纹钢1812
2,Y,豆油1812
3,SM,锰硅907
4,AU,黄金1810
5,PM,普通小麦905
6,SC,原油2012
7,RM,菜籽粕811
8,B,黄大豆2号1906
9,AL,铝1907
10,RI,早籼稻907
11,FB,中密度纤维板1902
12,WR,线材1907
13,CY,棉纱指数连续
14,NI,镍1906
15,JD,鸡蛋1809
16,M,豆粕指数连续
17,A,黄大豆1号1903
18,TF,5年期国债1812
19,V,聚氯乙烯指数连续
20,SF,硅铁906
21,I,铁矿石1907
22,AP,鲜苹果905
23,SN,锡1902
24,JM,焦煤1906
25,MA,甲醇903
26,ZC,动力煤901
27,AG,白银指数连续
28,C,黄玉米1809
29,FG,玻璃906
30,OI,菜籽油903
31,SR,白糖主力连续价差平滑
32,J,冶金焦炭1908
33,PP,聚丙烯1901
34,ZN,锌1907
35,LR,晚籼稻811
36,HC,热轧卷板指数连续
37,TS,年期国债指数连续
38,WH,优质强筋小麦901
39,IH,上证指数连续
40,BU,沥青1909
41,L,聚乙烯主力连续
42,RS,油菜籽809
43,JR,粳稻811
44,T,10年期国债1903
45,BB,细木工板1907
46,TA,PTA主力连续
47,CU,铜指数连续
48,IF,IF1903
49,PB,铅1905
50,CF,一号棉花811
51,IC,中证500指数1809
52,RU,天然橡胶指数连续
53,FU,燃料油1901
54,CS,玉米淀粉1811
